4046,8
4047,10
4048,10
4049,8
4050,8
4051,8
4052,8
4053,8
4054,3
4055,10
4056,2
4057,10
4058,10
4059,10
4060,10
4061,8
4062,8
4063,10
4064,3
4065,3
4066,10
4067,8
4068,10
4069,10
4070,10
4071,10
4072,7
4073,10
4074,10
4075,2
4076,10
4077,8
4078,8
4079,8
4080,10
4081,7
4082,2
4083,10
4084,8
4085,8
4086,8
4087,8
4088,8
4089,8
4090,10
4091,10
4092,8
4093,8
4094,10
4095,8
4096,10
4097,8
4098,8
4099,10
4100,10
4101,10
4102,8
4103,8
4104,8
4105,8
4106,10
4107,8
4108,10
4109,3
4110,10
4111,10
4112,8
4113,8
4114,8
4115,1
4116,10
4117,3
4118,8
4119,10
4120,10
4121,8
4122,3
4123,8
4124,7
4125,8
4126,10
4127,7
4128,8
4129,10
4130,8
4131,8
4132,3
4133,2
4134,7
4135,8
4136,8
4137,10
4138,8
4139,8
4140,3
4141,7
4142,10
4143,10
4144,10
4145,3
4146,10
4147,8
4148,10
4149,8
4150,10
4151,3
4152,8
4153,8
4154,8
4155,8
4156,8
4157,10
4158,2
4159,3
4160,10
4161,8
4162,10
4163,8
4164,8
4165,8
4166,9
4167,10
4168,8
4169,8
4170,8
4171,10
4172,10
4173,10
4174,8
4175,8
4176,3
4177,10
4178,8
4179,8
4180,8
4181,10
4182,8
4183,8
4184,3
4185,8
4186,8
4187,10
4188,3
4189,8
4190,8
4191,8
4192,10
4193,10
4194,7
4195,5
4196,10
4197,10
4198,8
4199,10
4200,8
4201,10
4202,8
4203,10
4204,10
4205,7
4206,10
4207,10
4208,8
4209,10
4210,7
4211,0
4212,10
4213,10
4214,10
4215,10
4216,3
4217,8
4218,8
4219,10
4220,7
4221,10
4222,7
4223,8
4224,2
4225,8
4226,10
4227,8
4228,10
4229,3
4230,8
4231,10
4232,5
4233,10
4234,10
4235,8
4236,10
4237,10
4238,2
4239,8
4240,8
4241,10
4242,8
4243,8
4244,8
4245,10
4246,10
4247,3
4248,2
4249,8
4250,8
4251,8
4252,10
4253,3
4254,8
4255,8
4256,10
4257,8
4258,8
4259,8
4260,8
4261,10
4262,10
4263,8
4264,5
4265,8
4266,10
4267,10
4268,8
4269,8
4270,10
4271,8
4272,10
4273,10
4274,8
4275,3
4276,10
4277,2
4278,8
4279,8
4280,10
4281,8
4282,10
4283,8
4284,10
4285,8
4286,10
4287,8
4288,10
4289,8
4290,8
4291,8
4292,7
4293,2
4294,10
4295,8
4296,8
4297,10
4298,8
4299,8
4300,10
4301,10
4302,8
4303,8
4304,8
4305,7
4306,8
4307,10
4308,8
4309,10
4310,10
4311,8
4312,10
4313,8
4314,8
4315,8
4316,8
4317,8
4318,8
4319,10
4320,10
4321,10
4322,8
4323,8
4324,8
4325,8
4326,8
4327,8
4328,10
4329,10
4330,7
4331,8
4332,10
4333,8
4334,10
4335,8
4336,8
4337,8
4338,8
4339,10
4340,8
4341,8
4342,8
4343,3
4344,7
4345,3
4346,8
4347,3
4348,10
4349,10
4350,10
4351,8
4352,8
4353,10
4354,10
4355,3
4356,7
4357,8
4358,10
4359,10
4360,10
4361,8
4362,10
4363,8
4364,8
4365,10
4366,8
4367,8
4368,8
4369,10
4370,10
4371,8
4372,8
